TransactionId,Status,Type,ClientName,Amount
2,Completed,Refill,Paul Carter,$45.16
4,Cancelled,Refill,Quentin Bonner,$64.52
6,Completed,Refill,Neil Walls,$99.36
7,Canceled,Refill,Slade Rios,$52.60
10,Cancelled,Withdrawal,Holmes Howell,$93.81
11,Cancelled,Refill,Flynn Whitley,$95.75
12,Cancelled,Refill,Chase Salas,$95.25
14,Completed,Refill,Len Snyder,$78.59
15,Completed,Refill,Thaddeus Watts,$38.72
18,Pending,Refill,Jameson White,$38.76
19,Completed,Refill,Christian Stanton,$91.79
21,Cancelled,Refill,Kevin Wiley,$42.04
23,Pending,Refill,Salvador Hardy,$60.54
25,Completed,Refill,Zeus Ferrell,$32.59
26,Completed,Refill,Hayden Puckett,$14.49
27,Completed,Refill,Raja Fitzpatrick,$56.88
31,Pending,Refill,Omar Hutchinson,$54.11
36,Cancelled,Withdrawal,Driscoll Tate,$72.10
37,Completed,Refill,Armando Chase,$99.65
38,Cancelled,Withdrawal,Thane Donovan,$84.18
39,Completed,Refill,Price Dudley,$15.81
40,Cancelled,Withdrawal,Yuli Brown,$67.19
41,Cancelled,Refill,Jin Prince,$95.10
42,Pending,Refill,Beck Butler,$64.97
44,Cancelled,Withdrawal,Dane Barker,$25.31
45,Cancelled,Withdrawal,Felix Harper,$82.36
46,Pending,Refill,Merrill Mullen,$30.56
47,Cancelled,Refill,Laith Villarreal,$74.68
48,Completed,Refill,Abraham Justice,$63.24
49,Completed,Refill,Nathan Whitfield,$59.82
50,Completed,Refill,David Rice,$84.71
53,Pending,Refill,Hakeem Acevedo,$40.66
54,Pending,Refill,Daquan Shields,$16.36
55,Completed,Refill,Adam Shepherd,$45.97
56,Pending,Refill,Derek Todd,$52.88
57,Cancelled,Withdrawal,Nigel Roach,$46.92
58,Pending,Refill,Oleg Willis,$97.76
61,Cancelled,Withdrawal,Cairo Mack,$73.98
62,Pending,Refill,Erasmus Oneal,$89.31
63,Pending,Refill,Levi Shepherd,$64.08
64,Cancelled,Withdrawal,Cody York,$70.00
65,Cancelled,Refill,Armand Miller,$10.93
73,Cancelled,Refill,Sean Head,$11.36
74,Cancelled,Withdrawal,Ross Crawford,$24.13
75,Pending,Refill,Salvador Hopkins,$47.86
76,Cancelled,Withdrawal,Quamar Peck,$5.46
77,Cancelled,Withdrawal,Norman Whitley,$35.88
81,Cancelled,Withdrawal,Eaton Sanchez,$31.20
82,Completed,Refill,Cooper Cantrell,$14.69
83,Cancelled,Withdrawal,Kermit Lawrence,$86.51
84,Pending,Refill,Arsenio Wilkinson,$76.06
85,Completed,Refill,Francis Marks,$93.64
87,Pending,Refill,Hyatt Spence,$74.23
89,Cancelled,Refill,Brent Skinner,$48.10
90,Pending,Refill,Linus Garcia,$61.99
91,Pending,Refill,Bruce Vaughn,$16.55
92,Cancelled,Refill,Galvin Knapp,$90.98
93,Completed,Refill,Timothy Martinez,$36.48
94,Cancelled,Refill,Myles Wright,$87.57
96,Completed,Refill,Brendan Santana,$38.22
97,Cancelled,Refill,Quamar Avery,$34.22
